FID,OBJECTID,SHAPE,KRANKENHAUS_BEZEICHNUNG,ABTEILUNG,BEZEICHNUNG,WEBLINK1,ADRESSE,BEZIRK,TELEFON,SE_ANNO_CAD_DATA
AMBULANZOGD.137,137,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin I<br />Klin. Abteilung für Onkologie,Homöopathie bei malignen Erkrankungen,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=2573,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-44660,
AMBULANZOGD.138,138,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin I<br />Klin. Abteilung für Onkologie,Internistisch-Experimentelle Onkologische Ambulanz,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=1736,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-44660,
AMBULANZOGD.139,139,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin I<br />Klin. Abteilung für Onkologie,Lungenkarzinom,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=1720,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-44660,
AMBULANZOGD.140,140,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin I<br />Klin. Abteilung für Onkologie,Magen- und Oesophaguskarzinom,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=1724,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-44660,
AMBULANZOGD.141,141,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin I<br />Klin. Abteilung für Onkologie,Metastasierte Kolorektale Karzinome,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=1728,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-44660,
AMBULANZOGD.142,142,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin I<br />Klin. Abteilung für Onkologie,Metastasiertes Mammakarzinom,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=1735,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-44660,
AMBULANZOGD.143,143,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin I<br />Klin. Abteilung für Onkologie,Myelome/Amyloidose,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=1732,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-44660,
AMBULANZOGD.144,144,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin I<br />Klin. Abteilung für Onkologie,Nierenzell- und Urothelkarzinom,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=1725,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-44660,
AMBULANZOGD.145,145,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin I<br />Klin. Abteilung für Onkologie,Onko-Rehabilitation,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=3252,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-44660,
AMBULANZOGD.146,146,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin I<br />Klin. Abteilung für Onkologie,Pankreas- und Gallengangskarzinom,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=1729,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-44660,
AMBULANZOGD.147,147,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin I<br />Klin. Abteilung für Onkologie,Sarkome,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=1730,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-44660,
AMBULANZOGD.148,148,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin I<br />Klin. Abteilung für Onkologie,Tumoren der Halsregion,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=1727,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-44660,
AMBULANZOGD.149,149,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin I<br />Klin. Abteilung für Onkologie,"Tumoren des Urogenitaltraktes, gynäkologische Tumore",http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=1726,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-44660,
AMBULANZOGD.150,150,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin I<br />Klin. Abteilung für Onkologie,Tumoren des ZNS,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=1722,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-44660,
AMBULANZOGD.151,151,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin I<br />Klin. Abteilung für Onkologie,"Urothel-, Analkarzinom & Schmerztherapie",http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=3268,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-44660,
AMBULANZOGD.152,152,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin I<br />Klin. Abteilung für Onkologie,ZNS Metastasen,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=3262,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-44660,
AMBULANZOGD.153,153,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin I<br />Klin. Abteilung für Palliativmedizin,Supportive Krebsbehandlung,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=3067,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-77760,
AMBULANZOGD.154,154,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin II<br />Klin. Abteilung für Angiologie,Angiologische Ambulanz,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=1698,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-43450,
AMBULANZOGD.155,155,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin II<br />Klin. Abteilung für Angiologie,Vaskulitis-Ambulanz,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=3068,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-43450,
AMBULANZOGD.156,156,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin II<br />Klin. Abteilung für Kardiologie,Allgemeine Herzambulanz,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=1712,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-46230,
AMBULANZOGD.157,157,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin II<br />Klin. Abteilung für Kardiologie,Ambulanz für angeborene Herzfehler im Erwachsenenalter,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=1702,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-62800,
AMBULANZOGD.158,158,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin II<br />Klin. Abteilung für Kardiologie,Ambulanz für erworbene Vitien,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=1701,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-62800,
AMBULANZOGD.159,159,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin II<br />Klin. Abteilung für Kardiologie,Ambulanz für Lungenhochdruck,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=2793,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-61350,
AMBULANZOGD.160,160,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin II<br />Klin. Abteilung für Kardiologie,Herzinsuffizienz-Ambulanz,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=1708,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-62780,
AMBULANZOGD.161,161,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin II<br />Klin. Abteilung für Kardiologie,Rhythmus-Ambulanz,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=1704,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-46230,
AMBULANZOGD.162,162,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin II<br />Klin. Abteilung für Kardiologie,Schrittmacher-Ambulanz,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=1703,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-62880,
AMBULANZOGD.163,163,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin II<br />Klin. Abteilung für Pulmologie,Ambulanz für interstitielle Lungenerkrankungen,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=2590,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-61350,
AMBULANZOGD.164,164,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin II<br />Klin. Abteilung für Pulmologie,Bronchoskopie und Rechtsherzkatheter-Ambulanz,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=2518,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-47780,
AMBULANZOGD.165,165,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin II<br />Klin. Abteilung für Pulmologie,Lungenambulanz,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=2517,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-61350,
AMBULANZOGD.166,166,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin II<br />Klin. Abteilung für Pulmologie,Lungenfunktion,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=2516,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-47700,
AMBULANZOGD.167,167,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin II<br />Klin. Abteilung für Pulmologie,Schlafapnoeambulanz,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=2519,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-46950,
AMBULANZOGD.168,168,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin II<br />Klin. Abteilung für Pulmologie,Sport- und Leistungsmedizinische Ambulanz,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=2520,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-47710,
AMBULANZOGD.169,169,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin III<br />Klin. Abteilung für Endokrinologie und Stoffwechsel,Angeborene Stoffwechselerkrankungen,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=1687,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-42950,
AMBULANZOGD.170,170,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin III<br />Klin. Abteilung für Endokrinologie und Stoffwechsel,Diabetes und Stoffwechselerkrankungen,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=1689,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-60950,
AMBULANZOGD.171,171,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin III<br />Klin. Abteilung für Endokrinologie und Stoffwechsel,Hormonelle Erkrankungen,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=2498,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-43460,
AMBULANZOGD.172,172,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin III<br />Klin. Abteilung für Endokrinologie und Stoffwechsel,Schilddrüsenerkrankungen,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=1686,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-60950,
AMBULANZOGD.173,173,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin III<br />Klin. Abteilung für Gastroenterologie und Hepatologie,Ambulanz für abdominelle Ultraschall-Diagnostik,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=2508,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-47500,
AMBULANZOGD.174,174,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin III<br />Klin. Abteilung für Gastroenterologie und Hepatologie,Ambulanz für diagnostische und therapeutische Endoskopie,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=2509,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-47780,
AMBULANZOGD.175,175,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin III<br />Klin. Abteilung für Gastroenterologie und Hepatologie,Erstvorstellungs- und Poolambulanz,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=2507,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-47500,
AMBULANZOGD.176,176,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin III<br />Klin. Abteilung für Gastroenterologie und Hepatologie,Gastroenterologische und Hepatologische Funktionsdiagnostik,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=2510,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-47320,
AMBULANZOGD.177,177,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin III<br />Klin. Abteilung für Gastroenterologie und Hepatologie,Hepatische Hämodynamik,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=3274,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-47500,
AMBULANZOGD.178,178,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin III<br />Klin. Abteilung für Gastroenterologie und Hepatologie,Hepatom-Ambulanz,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=2574,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-47500,
AMBULANZOGD.179,179,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin III<br />Klin. Abteilung für Gastroenterologie und Hepatologie,Interventionelle Ambulanz,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=2698,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-47780,
AMBULANZOGD.180,180,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin III<br />Klin. Abteilung für Gastroenterologie und Hepatologie,Leberzirrhoseambulanz,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=2513,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-47500,
AMBULANZOGD.181,181,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin III<br />Klin. Abteilung für Gastroenterologie und Hepatologie,Spezialambulanz für cholestatische und immunologische Lebererkrankungen,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=3272,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-47500,
AMBULANZOGD.182,182,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin III<br />Klin. Abteilung für Gastroenterologie und Hepatologie,Spezialambulanz für Fettlebererkrankungen,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=2515,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-47500,
AMBULANZOGD.183,183,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin III<br />Klin. Abteilung für Gastroenterologie und Hepatologie,Spezialambulanz für gastroenterologische Psychosomatik,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=2512,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-47500,
AMBULANZOGD.184,184,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin III<br />Klin. Abteilung für Gastroenterologie und Hepatologie,Spezialambulanz für hereditäre Lebererkrankungen,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=2505,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-47500,
AMBULANZOGD.185,185,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin III<br />Klin. Abteilung für Gastroenterologie und Hepatologie,Spezialambulanz für Morbus Crohn und Colitis ulcerosa,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=2514,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-47500,
AMBULANZOGD.186,186,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin III<br />Klin. Abteilung für Gastroenterologie und Hepatologie,Spezialambulanz für virale Lebererkrankungen,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=3288,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-47500,
AMBULANZOGD.187,187,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin III<br />Klin. Abteilung für Gastroenterologie und Hepatologie,Spezialambulanz für Zöliakie,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=2506,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-47500,
AMBULANZOGD.188,188,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin III<br />Klin. Abteilung für Nephrologie und Dialyse,Apherese 13H2,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=3281,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-40200,
AMBULANZOGD.189,189,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin III<br />Klin. Abteilung für Nephrologie und Dialyse,Chronische Dialyse,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=3280,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-73620,
AMBULANZOGD.190,190,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin III<br />Klin. Abteilung für Nephrologie und Dialyse,Nierenambulanz,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=1697,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-42170,
AMBULANZOGD.191,191,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin III<br />Klin. Abteilung für Nephrologie und Dialyse,Nierentransplantationsambulanz,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=1696,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-43990,
AMBULANZOGD.192,192,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin III<br />Klin. Abteilung für Nephrologie und Dialyse,Peritonealdialyse,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=3186,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-44950,
AMBULANZOGD.193,193,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin III<br />Klin. Abteilung für Nephrologie und Dialyse,Prä-Transplant Ambulanz,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=3107,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-73605,
AMBULANZOGD.194,194,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin III<br />Klin. Abteilung für Nephrologie und Dialyse,Shunt-Ambulanz,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=3318,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-73600,
AMBULANZOGD.195,195,POINT (16.344330780505615 48.220184438513456),Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus,Univ. Klinik für Innere Medizin III<br />Klin. Abteilung für Rheumatologie,Ambulanz für Geriatrie,http://www.wienkav.at/kav/akh/Medstellen_Anzeigen.asp?id=1692,"9., Währinger Gürtel 18-20",9,(+43 1) 40400-46760,
